latent_dim,delta,include_pooled_tf,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,mcc_delta
10,-2,True,1.7312512407440719,1.872150318807663,0.421962708234787,0.3911780118942261,0.030784696340560913
10,-2,False,1.7312512407440719,1.872150318807663,0.4402599334716797,0.4291225075721741,0.011137425899505615
11,-1,True,1.72461141903268,1.874546188197724,0.4297395944595337,0.3985919654369354,0.031147629022598267
11,-1,False,1.72461141903268,1.874546188197724,0.4654146134853363,0.4391835331916809,0.026231080293655396
12,0,True,1.7163635483254887,1.8705942532787585,0.44834885001182556,0.42128071188926697,0.027068138122558594
12,0,False,1.7163635483254887,1.8705942532787585,0.4856671690940857,0.46309328079223633,0.022573888301849365
13,1,True,1.7132581542235414,1.8672752010223528,0.4559025168418884,0.4302930235862732,0.025609493255615234
13,1,False,1.7132581542235414,1.8672752010223528,0.5079121589660645,0.4749460816383362,0.03296607732772827
14,2,True,1.721371592466764,1.8678458918175196,0.49638280272483826,0.4489198327064514,0.04746297001838684
14,2,False,1.721371592466764,1.8678458918175196,0.5311431288719177,0.49110332131385803,0.04003980755805969
