latent_dim,delta,include_pooled_tf,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,mcc_delta
6,-2,True,1.7756849771340486,1.8913558204424437,0.3162197470664978,0.34662339091300964,-0.03040364384651184
6,-2,False,1.7756849771340486,1.8913558204424437,0.35467472672462463,0.37672126293182373,-0.022046536207199097
7,-1,True,1.7673958618266614,1.87452830081661,0.4067520499229431,0.3612115979194641,0.045540452003479004
7,-1,False,1.7673958618266614,1.87452830081661,0.39515310525894165,0.3910699784755707,0.004083126783370972
8,0,True,1.7515353274895642,1.8759079131905891,0.4145175814628601,0.36977434158325195,0.044743239879608154
8,0,False,1.7515353274895642,1.8759079131905891,0.41630563139915466,0.41022926568984985,0.00607636570930481
9,1,True,1.7365432138706627,1.8765951166414234,0.39869946241378784,0.3800286650657654,0.01867079734802246
9,1,False,1.7365432138706627,1.8765951166414234,0.44858410954475403,0.42024683952331543,0.0283372700214386
10,2,True,1.7312512407440719,1.872150318807663,0.45859915018081665,0.40915602445602417,0.04944312572479248
10,2,False,1.7312512407440719,1.872150318807663,0.498928427696228,0.4583320617675781,0.0405963659286499
