,tmp,count,TF,batch
375,JUND_0,510,JUND,0
376,HOXB4_0,507,HOXB4,0
377,RBPJL_0,504,RBPJL,0
378,HOXB1_0,501,HOXB1,0
379,HIF3A_0,499,HIF3A,0
380,NFATC1_0,497,NFATC1,0
381,USF2_0,496,USF2,0
382,ZNF688_0,495,ZNF688,0
383,YWHAE_0,491,YWHAE,0
384,TBP_0,486,TBP,0
385,PPARG_0,486,PPARG,0
386,OSR2_0,486,OSR2,0
387,ZNF493_0,482,ZNF493,0
388,TBX1_0,481,TBX1,0
389,SCRT2_0,481,SCRT2,0
390,ERCC2_0,478,ERCC2,0
391,NFE2L1_0,474,NFE2L1,0
392,YBX1_0,471,YBX1,0
393,ETF1_0,470,ETF1,0
394,ZNF260_1,469,ZNF260,1
395,OTX2_0,468,OTX2,0
396,HOXA9_0,465,HOXA9,0
397,ZKSCAN7_0,463,ZKSCAN7,0
398,CEBPG_0,463,CEBPG,0
399,HEYL_0,462,HEYL,0
400,SOX14_0,462,SOX14,0
401,KLF17_0,462,KLF17,0
402,PSAP_0,461,PSAP,0
403,DUXA_0,457,DUXA,0
404,HOXC12_0,457,HOXC12,0
405,HMGN2_0,456,HMGN2,0
406,LHX8_0,451,LHX8,0
407,MAFG_0,449,MAFG,0
408,SNAI2_0,448,SNAI2,0
409,POU6F1_0,447,POU6F1,0
410,SMAD9_0,447,SMAD9,0
411,NR2C2_1,446,NR2C2,1
412,HMGB2_0,446,HMGB2,0
413,AEBP2_0,445,AEBP2,0
414,GTF2F2_0,443,GTF2F2,0
415,ARID3C_0,441,ARID3C,0
416,PML_0,439,PML,0
417,GABPB1_0,432,GABPB1,0
418,CREB3L2_0,430,CREB3L2,0
419,ZNF705G_0,428,ZNF705G,0
420,SLC22A1_0,428,SLC22A1,0
421,CERS4_0,428,CERS4,0
422,SLC2A4RG_0,428,SLC2A4RG,0
423,THRA_0,422,THRA,0
424,POU2AF1_0,421,POU2AF1,0
425,ZMYND11_0,419,ZMYND11,0
426,ZNF621_0,419,ZNF621,0
427,HOXD1_0,417,HOXD1,0
428,MAFK_0,413,MAFK,0
429,HEY2_0,413,HEY2,0
430,THAP12_1,413,THAP12,1
431,GTF2A1_0,412,GTF2A1,0
432,NPAS4_0,411,NPAS4,0
433,SOX15_0,410,SOX15,0
