,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
ADAD1,-0.0012567186,-0.0019968802,0.00032701713,0.0015944529,-0.0017417836,0.0020455567,0.0006838943,0.0032219344,-0.0015742519,0.0019564237,0.0007553747,0.0027429669,0.0038222955,0.00037053498,-0.0006971411,-0.0022706792,0.0034535339,0.00053069566,-0.0023986606,-0.0018999558,0.0002877323,-0.0017095505,-0.002386933,0.00061974925,0.0025104482,-0.0012957369,-0.0015097394,-0.0013822755
ADAM19,-0.001968967,0.0064101405,0.0005764877,0.0018240936,-0.006925111,-0.0006390907,0.0016809711,0.007762917,-0.0009477059,-0.01189023,-0.000204569,0.001767119,0.0070109563,0.0045638885,-0.0032859796,-0.0030410413,0.0016059339,0.0003684871,-0.0047610425,0.0076279286,0.0035923494,-0.0062544243,-0.0027635833,-0.00030015234,-0.0054006637,0.001582957,-0.00527512,0.0028640358
ADAMTS10,4.365995e-05,0.0023975263,0.0019855911,0.0038598562,-0.00089421746,0.0003676262,0.0053726626,-0.0017030783,-0.0009979459,-0.0029382263,-0.0005253644,-0.0003261777,0.0031310236,0.0004763093,-0.0015822431,0.001291898,0.00023720777,0.0019857709,-0.007822477,0.004685004,0.0009561979,-0.0014431305,-0.0010115285,-0.0022498604,-0.00015776552,-0.0012477381,-0.0013061544,0.009991163
ADAMTS12,-0.002680295,0.004204742,0.002139128,0.010223223,-0.00018759088,-0.0018254247,0.007989205,0.0011706232,0.00035583068,-0.008860425,0.0066207713,-0.00010848261,0.0074379086,0.0041797995,-7.481862e-06,-0.0019374546,0.0013276681,0.0022944524,-0.017969497,-0.00021496367,0.006267778,0.0015607849,-0.0019296618,-0.003054614,-0.0035983694,-0.0021834108,-0.0015014907,0.02170787
ADAMTS17,-0.0038572028,-0.0007269858,0.00018677067,0.0058058235,0.00096910814,0.00021985227,0.0023854484,-0.0028954179,-0.0037340214,-0.0016455129,-1.135536e-05,-0.0019029345,0.0005636287,-0.0013155395,-0.0020728246,0.0022333325,-0.00023794152,0.005709672,-0.007774392,0.0060213255,3.7470276e-05,-0.0010134872,0.0018658359,0.0006354136,-0.0059073074,0.0003375839,0.0036795628,0.014338255
ADAMTS19,-0.0011240763,-0.0011045346,0.0026761983,0.015101073,0.0009838438,-0.002566831,0.015117818,-0.004081735,0.001381268,0.0016338096,0.0053862566,-0.00057743245,0.0043480215,-0.00033222043,-0.0034089726,0.006622592,-0.0038660553,0.00668417,-0.029370254,0.0031101832,0.00022924077,-0.0021974766,0.0011414838,-0.005833156,-0.0015172085,-0.0008621829,-0.0011415957,0.032257527
ADAMTS20,-0.00063799595,-0.00013214604,0.0018714704,0.008542751,0.0012573648,-0.0011727075,0.007949924,-0.000606559,0.0031510575,-0.0007006951,0.0017685296,0.00083253795,0.0041138344,-0.0006688323,0.001389153,0.0026963213,-0.0036435705,0.0015094326,-0.014517396,0.0024007065,0.0016710883,0.0003217309,-0.0010645859,-0.0032041762,0.00018555853,-0.0008486989,-0.002580586,0.015633998
ADAMTS3,-0.0014680184,0.002712559,0.0049240836,0.008088977,-0.00017007074,-0.002541187,0.0066109737,0.004450969,-0.0011521059,-0.0009778196,0.0070212334,0.0043401453,0.004739367,0.0020992327,-0.0036830364,-0.0022570011,-0.00059314416,0.008385804,-0.011799814,-0.0009771639,0.0068353955,-0.0014106848,0.0016090799,0.0018930518,-0.00706554,0.005427076,-0.0058857095,0.014110984
ADAMTS6,-0.0069533684,0.0017050459,0.00072038587,0.009500329,-0.0019483796,-0.00024399822,0.0022634896,0.005823101,0.001165825,-0.007928727,0.0015452922,0.0059649944,0.0086017735,0.0037082732,-0.0017871609,-0.001512039,0.0021258404,-0.0009678402,-0.008452077,0.0069669792,0.0070009995,0.00024290553,0.0005846299,-0.0023335875,-0.007122425,0.00022218813,-0.004506698,0.013202113
ADAMTS8,0.0011622005,0.00080609554,-0.0004749616,-0.0013838032,-0.0007854602,-0.0017820032,0.00019880521,-0.0015227889,3.7266354e-06,-0.00023467747,-0.0019613567,-0.0018332106,-0.001509956,-0.0013131131,0.0002289872,0.0013023491,-0.001968941,-0.00016577535,-0.0017700618,0.000275829,-0.00032704347,5.0314848e-05,0.0009979788,0.0026951383,6.805081e-05,0.000949011,0.00097471935,0.00034303145
ADAMTS9,-0.003558547,0.006145657,-0.0017506884,-0.0004976683,0.0005757804,-0.0005313979,-0.004016735,0.006993127,-0.004321585,-0.009403033,0.0036657336,-0.00032796964,0.011178981,-0.0023149436,0.000508689,0.00027156336,0.0018170434,0.0035242809,0.0039036768,0.00078578026,0.0021989362,-0.0024701678,-0.00045811414,-0.002763516,-0.003996316,-0.004622843,-0.0028524348,-0.0051514884
