,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
ABCA1,0.002727495,0.0015784968,-0.0048193648,-0.0005103597,0.0041673654,0.009069094,-0.004132904,-0.004457309,0.0020432381,0.0006507196,-1.955557e-05,0.0018822916,0.0051787477,-0.0023592722,0.002717618,-0.004261867,-0.00019300301,0.0014583151,-0.005741548,-0.004274232,-0.0071486123,-0.004286808,0.0019119581,-0.00258419,0.0027600897,0.0014753448,-0.003142411,0.0011715047,-0.0012153027,0.005179935,0.01220909,-0.005364823,-0.00039787398,0.0026258843,-0.003148412,-0.012060284
ABHD12B,0.0020185048,-0.0003634364,-0.0014877896,-0.0014165406,-0.0020320409,0.005573966,-0.0005979318,-0.0040724883,-0.0011002463,0.0042257467,0.0013002965,-0.0022967246,-0.0013598888,0.00020997073,0.0033596484,-0.0034111936,0.001522844,0.00046646528,-0.0010693402,-0.0018224175,-0.004518381,-0.00039607746,-0.0025944766,-0.0031270848,0.0016904449,-0.0035683985,-0.0019431695,-0.0014270652,0.0012404826,-0.0023411815,0.005135648,0.00013187458,0.0025180923,-0.000881259,-0.0008510336,-0.007262647
ABHD17A,0.0026460905,0.0031943703,-0.003926275,0.002286451,0.0022271643,0.0033559713,-0.0015766782,0.00010402109,0.001929669,-0.0021506036,-0.0010127058,-0.0036432322,0.001679872,0.0014002915,0.001526229,0.0009176039,-0.0015353067,-0.0008909281,-0.0026514244,-0.0037048722,-0.003015953,-0.001415542,-8.920854e-05,0.0039094207,-0.0005854205,0.005032653,-0.0015740144,0.0020268057,0.0026138304,0.00063097535,0.0015366653,-0.0020724148,0.00040265528,0.002525057,0.0010216854,-0.0036830541
ABTB2,5.7340858e-05,0.0030420257,-0.004549574,-0.0035070444,-0.0004491781,0.006039132,-0.0010191036,-0.004746169,0.004918114,-0.0053297128,-0.0005551955,0.00071642536,0.0025723844,0.006911244,0.0016458973,0.003142411,-0.003426745,-0.00094787794,-0.0028269219,-0.004033793,-0.008261484,0.0010626615,-0.0036962947,0.0023150018,-0.003998162,-0.0045341947,0.0039215004,-0.00078305457,0.0011384482,0.0013653795,0.010973092,-0.006811048,-0.0028473812,0.0014777576,0.0018646258,-0.010349888
ACOXL,-0.0009997186,0.0060322233,-0.009546515,-0.0013035085,0.008644979,0.0060896305,-0.0074050245,-0.0074003283,0.004629835,0.00094059086,0.0004239222,-0.008364867,0.009471931,-0.0037011008,0.0089230295,0.0013165196,-0.0037229222,-0.0012657215,-0.008642314,-0.003952313,-0.0066932463,0.0042813076,-0.0003814132,-0.0036422205,0.0015980394,-6.567949e-05,-0.00056246493,0.0031965985,-4.36519e-05,0.007595433,0.013495856,-0.0083553605,0.0011903672,-0.003184371,-0.0033329052,-0.018171968
ACP5,0.0017209038,0.0038587293,0.0018747522,0.0019461992,-0.0023360846,-0.00039191812,0.0026245122,0.0024798166,0.006756219,0.0057793777,0.005140197,-0.009152084,-0.003899258,0.0025715393,0.0054130703,-0.0016913007,0.0010590719,-0.0023146307,0.0007141078,-0.0014555209,0.00038057842,0.0020886827,-0.0029681993,-0.0037899797,0.0015099889,0.0036173626,0.0033229701,0.0035779295,-0.0018145397,-0.003988666,-0.00085065723,-0.0002809904,-0.0015044952,-0.0014271936,0.0019008183,-8.3106046e-05
ACSF3,-0.0004065357,0.001598599,-0.0007560518,0.0012997292,0.0006148383,0.0027296895,-2.253537e-05,-0.0028735488,0.0007486811,0.0014405075,0.0026022487,0.0011514161,0.0021206634,0.0036085232,0.0024678733,-0.0010119466,0.00023214269,0.00373719,-0.0036447474,0.00085446617,-0.0012495611,0.0003032822,0.002531226,-0.0038744027,0.0027816878,-0.0021475758,-0.0004068804,-0.001069347,-0.0046173595,0.0011043631,0.007198817,-0.0012657999,-0.000714413,0.0019599635,-0.001843806,-0.006489442
ACTA1,-0.0027902597,0.0026323302,-0.0029761984,-0.0022851555,0.003129616,-0.0038374625,-0.0032139544,0.0016607976,0.00032438722,-0.0038454675,-0.004764469,-0.004341762,-0.0073663504,-0.0010803875,-0.0077649164,-0.0008217644,0.0035480845,0.00056127034,0.009210297,-0.0012503398,0.0070762276,0.0041813627,0.008297816,-0.00035370956,0.0055900053,0.0017543942,0.005391101,0.011195331,0.0021845545,0.0077498066,-0.0062758336,0.0026732213,0.006198585,-0.0022356333,-0.00019441963,0.0031561942
ACTA2,-0.00093104853,0.00046473977,-0.000560375,0.0057012336,0.008907908,-0.0053488417,0.00010297457,0.0023318713,0.0020455227,0.0036813074,-0.0037310554,-0.00010283056,-0.0012036025,0.00056272326,0.0017448136,0.00048213964,-0.0016119246,0.00036623163,-0.0051513356,0.0030905488,-0.004747212,-0.0004870852,9.8978184e-05,0.0021527503,0.0008657601,0.0029524744,0.008198293,0.0028171267,0.0012016403,0.015310258,-0.008690405,-0.004405489,0.0016730581,0.0002956399,-0.0093597835,0.008952701
ACTC1,-0.0021976659,0.0034388988,0.0013662735,0.004006548,0.010516457,-0.007219629,0.00012996038,0.0027070302,-0.0034875174,0.00036668984,-0.0008835744,-0.0007600046,0.003705461,-0.0023677852,0.008645529,-0.0005765519,-0.00044657046,-0.0027144505,-0.0033453316,0.0027678676,-0.0044647376,0.0033453729,-0.00020651861,0.0031488007,-0.00040962984,0.0026319567,0.008499444,0.0049112746,-0.0006765474,0.022387031,-0.009058814,-0.0014495428,-0.00077789044,-0.0042217476,-0.0083099445,0.010380074
ACVR1,-0.0008613893,0.002421748,-0.004265261,-0.0027344797,0.00583715,0.005160661,-0.0037466518,-0.005461762,-0.0025164622,0.0013066257,-0.0023661088,0.0014642425,0.00457775,-0.0019576352,0.004045075,-0.0014098077,-0.00090806925,-0.0018673686,-0.0048313993,0.003503494,-0.0079877535,-0.0034393012,-0.000700225,-0.00074780564,0.00014686126,-0.0015337099,-0.00030791917,0.008483218,-0.00052751706,0.0051357057,0.01218198,-0.0061311414,0.0027633554,0.0010591787,-0.0029053835,-0.013393998
ADAM19,-0.0024871551,0.0023809036,-0.002983257,0.00053216703,0.0066364664,0.00041836232,-0.0030292454,-0.00066648243,-0.0034852086,-0.0019355767,-0.0054487693,0.002706991,0.0027296294,0.0020151103,0.012085933,-0.00024602376,0.0046043205,6.4813416e-06,-0.00749652,-0.0003794583,-0.0044033625,0.004060058,0.0025956966,0.0020839148,-0.0034794076,0.0016907578,0.005929485,0.00994178,-0.0048365733,0.014443554,-0.004399046,-0.005637562,0.003798656,0.0020448607,-0.0043011787,-0.0018151886
ADAMTS10,-0.0001971347,0.0025036142,-0.000956925,-0.0025092794,0.0029456818,0.0036169493,0.0019719554,-0.0022487184,0.0026483492,0.0017299374,0.0025469093,-0.0015723803,0.0017873467,4.1973257e-05,0.0057516512,-0.002841404,0.00059643295,0.0011624106,-0.004288139,-0.0025491586,-0.004088484,0.0025060426,-0.00075637177,-0.0045772376,0.0024184831,-0.00138657,-0.00025262046,0.0052456823,0.0033104313,0.0056621097,0.0070227874,-0.0024188517,0.00067103776,0.0015981554,0.0011092714,-0.0069400216
ADAMTS12,-0.003352001,0.003935574,-0.005308028,-8.734492e-05,0.0027480086,0.0055274083,-0.005278423,-0.008503793,-0.001553243,-0.00046665256,-0.0076761474,-0.0006812329,0.0026898563,-0.005735157,0.014111645,-0.003982753,-0.0012633101,-0.0025859566,-0.0062490106,0.0016103686,-0.010705262,-0.003317998,-0.0056393906,0.0023359733,-0.0021548227,-0.0023675866,0.0039955517,0.009957878,-0.0045790346,0.00807443,0.01348467,-0.00977625,-0.0012088161,-0.0002752478,0.0035502326,-0.017404016
ADAMTS17,-0.0011729574,0.0042047743,-0.0022788777,-0.001164692,0.0034939554,0.0036269824,-0.002024349,-0.0043218853,-0.0027187206,-0.0020839993,-0.0006982285,0.0023049482,0.006339765,-0.003460531,0.007467469,-0.001458406,-0.0033524767,-0.0020235342,-0.005371071,-1.3564611e-05,-0.0028171074,0.0020815649,-0.0031492242,-0.0037971707,0.0010398816,-0.000822737,-0.00076325465,0.006355778,-7.3338604e-05,0.0023343333,0.008368025,-0.0058637415,0.0003551528,-0.0021525444,-0.0010685753,-0.009047456
ADAMTS19,0.0020425508,0.009771793,-0.012693035,-0.0032423527,0.0058773574,0.017903157,-0.007969761,-0.016291065,0.0028334395,0.0017012814,0.002583654,0.0021667667,0.0075282687,0.00047175126,0.00812822,-0.00034666844,-0.0036315613,-0.0022977039,-0.011472616,0.0009344766,-0.012097663,-0.0017956687,0.00059703615,0.0015953226,0.0013988571,-0.0004488557,-0.001535614,0.0080924565,-0.003459051,-0.0018928817,0.02708536,-0.011413354,-0.0019672925,0.0015072445,-0.00054118346,-0.033090405
ADAMTS20,0.0017532313,0.00213202,-0.0077064615,-0.0011329388,-0.0009495793,0.009996643,-0.0011505442,-0.007235057,0.0013975325,0.0034987668,0.00042998785,-0.0037125405,0.0066610705,-0.0022430064,0.0041949563,0.0028379809,-0.00565355,0.0009547073,-0.007113549,0.0029627609,-0.0077416645,-0.0015056536,0.0025496492,0.0052020126,-0.005551784,0.0047478387,-0.002051722,0.0071595428,-0.0012920107,-0.0025993013,0.013939725,-0.0061727604,-0.0012061743,0.0057885246,0.0033665502,-0.014548664
ADAMTS3,-0.0008879108,0.0007712197,-0.0040284926,-0.0006900765,0.0030959938,0.003535253,-0.0020691345,-0.0044773496,-0.0011498103,0.0006200691,0.0019945924,-0.00087626645,0.00072850013,0.000616531,0.007349753,-0.0016760946,-0.00045028576,0.004630583,-0.0060193557,0.0006489009,-0.0029574148,-0.00034998584,-0.005182571,-0.004002666,-0.0036337099,-0.0013348626,0.00430283,0.005664634,-0.0054940507,0.0018862793,0.008914107,-0.0028933587,-0.0007098898,0.004101296,-0.0026486611,-0.013244461
ADAMTS6,-0.0041194074,0.0041325623,-0.0024721348,-0.0006551378,0.005133018,0.0039359955,-0.0024574138,-0.0055863583,-0.0021571608,-0.0008981536,-0.0058766217,-0.000116682924,0.007830122,-0.0027121268,0.009677565,-0.0002574073,-0.0064182016,-0.0039582294,-0.008322196,0.0033878828,-0.006149639,0.006986612,0.0017323834,0.0042617344,-0.0061330893,0.0028844508,0.0055779493,0.01038433,-0.0024796214,0.010553192,0.005060177,-0.009268814,0.003021906,0.004612985,0.0033752513,-0.008085616
ADAMTS8,0.00051736564,-0.00050870574,-0.0021951825,0.003540632,0.00078069454,0.0006476843,0.003494299,-0.0005761822,0.0023195148,0.0018773974,0.0009476089,0.001081169,0.00013669777,-0.0027655046,0.0007471606,0.0024967242,-0.00086545147,-0.0011848385,0.001909204,-0.0020774307,0.000116405325,0.0047956924,0.003845553,-0.003030397,0.0040909457,-0.0021805025,-0.0006151081,0.0006098286,0.0012945083,-0.00041744657,0.0022636876,0.001271275,0.0017189613,0.00088882964,0.00022060095,-0.001838083
ADAMTS9,-0.0033052445,0.006586482,0.0016110488,0.0018005599,0.009232589,-0.005567789,0.00022122776,0.00036670908,-0.0016071276,0.0018509157,-0.000686953,0.009749084,0.0036699953,0.006814328,0.0077679367,-6.744233e-05,-0.00021701382,0.0010705735,-0.0003788192,0.0064132614,0.0039695273,-0.0020520661,-0.0018290201,-8.792882e-05,0.0035031165,-0.00059077994,0.0070103,0.0075247944,-0.0018952197,0.01312677,-0.008385989,-5.073268e-05,0.002199277,0.00081612676,-0.0039239107,0.0050651347
ADAMTSL1,-0.00067597366,0.0005119746,-0.002716634,0.0012703777,0.002519765,0.0038023961,-0.001915817,-0.0046406197,-0.0047372277,0.00048205964,-0.00018030131,-0.004505739,0.0038363945,-0.0027583237,0.002471772,-0.0035740365,-0.002432732,-0.0037326624,-0.0046664546,-0.00043253094,-0.00498495,0.00016759952,-0.003241564,-0.00024363326,0.0016852455,0.00064674724,-0.00083222473,-0.0021572646,0.0029104762,0.0032635615,0.009032104,-0.0018027796,-0.0010677027,0.00031040146,0.005860206,-0.007830542
ADAMTSL5,0.0019192683,0.0010545602,-0.0006739592,-0.0011861919,0.0001061772,0.0026466944,-0.0027493427,0.00059965166,-0.0008915245,-0.0024487735,-0.0011036795,-0.0015983495,-0.0009310481,0.003016869,2.4967178e-05,8.456375e-05,0.0002690562,0.0008982508,-0.0009947137,0.0029120548,-0.00029509174,-0.0033164634,0.0007794442,0.0029046508,-0.0014387612,0.0034042182,-0.0012917898,-0.00093079713,0.00089876424,-0.0018233499,0.0016806903,0.0002987091,-6.300906e-05,-0.0013270327,0.0010534333,-0.0023050748
ADARB1,-0.004389632,0.0025529158,-0.0057040583,0.0023727403,0.0035275794,0.001866789,-0.0018267193,-0.009093948,0.002208355,-7.65138e-05,0.00496876,0.0036643997,0.00571949,-0.005280995,0.005923802,0.0007445344,-0.0016102595,-0.0033736217,-0.005393247,-0.00025693336,-0.011258772,0.0012247792,0.009853143,0.0038423627,-0.0046390276,0.0054191216,0.0029665907,0.0057602185,-0.00054078456,0.008956514,0.008740262,-0.0051229456,-0.0009198383,0.00033122813,-0.00085072353,-0.0033506067
ADARB2,-0.00031468016,0.0016888713,-0.0077516604,-0.00058698317,0.0053317985,0.0064932876,-0.0025714696,-0.008085769,0.0009864485,0.0013901186,-0.0018362035,-0.0011646827,0.0067687016,-0.00652655,0.00417463,-7.961664e-05,-0.0066394014,-0.0036451975,-0.0039797546,0.0037814374,-0.0068631996,-0.0038654879,0.00034167472,0.0025873664,-0.008226942,0.0051776483,0.002999312,0.0063009355,-0.0010666219,0.0062184357,0.012478192,-0.0055752615,-0.0045776074,0.0042375834,0.0008299301,-0.013190162
ADCY2,0.0013684307,0.0059622778,-0.0067584515,-0.005318542,0.0053546494,0.0136294905,-0.0073662503,-0.012102013,-0.0031498177,0.007921166,0.0045637875,-0.0029835587,0.010577577,-4.8611008e-05,0.013617195,-0.0020795614,-0.00091050094,-0.0027775492,-0.012448175,0.0009987719,-0.006018278,-0.00047409948,0.004042172,0.002315924,-0.0011376638,-0.008904317,-0.0018631255,0.013157936,0.00093667593,0.00088528387,0.02392862,-0.0078481035,-0.005229598,0.00034468874,-0.0006631369,-0.025414474
ADGRB3,-0.00036568698,0.0048170127,-0.007169567,-0.0022180674,0.0024578518,0.011209782,-0.0030500605,-0.0126112,0.00035110035,4.029391e-05,0.0042055794,0.0030526177,0.00934152,-0.0002916996,0.009192573,0.0007319988,0.00030562957,-0.002146414,-0.010165308,-0.0006134922,-0.008418564,-0.0019440235,-0.0020576061,-0.0010563143,-0.0011811205,-0.0023944897,0.00089340814,0.0088441465,0.0010801593,0.0048481296,0.020369355,-0.010830653,0.00024219388,0.00034883583,-0.0023191127,-0.020338314
ADGRF2,0.0009311341,0.003881704,0.0059936326,0.003045768,0.0026091656,-0.003051403,0.0027677775,0.003675268,-0.0008588442,0.0047787535,-0.0011213762,0.0031530517,-0.0025014486,0.0050483574,0.005908761,-0.0025801281,-0.00017719668,0.005045231,0.0018175767,0.008790536,0.0049063475,-0.0049318643,0.0010205328,-0.0007648836,0.0013866606,0.0052877655,0.00039312648,-0.0012568593,0.0044275643,0.0025586183,-0.00070265087,0.000856483,-0.0009742626,-0.0048263874,0.0030997228,0.0015991854
ADGRG1,-0.0017301381,0.0021402137,0.0013565955,-0.0009880317,0.0008643414,-0.0017780098,-0.0019199145,0.0001417054,0.0041865823,0.0024371634,-0.0026770313,-0.0006904443,0.00050445285,-0.009762254,0.0031496135,-0.003447908,-0.0005291341,-0.005875129,-0.0009576718,-0.0032748233,0.0005953975,-0.00013692772,0.0011219546,-0.0037550265,0.0036716857,0.00088876934,-0.0018499545,2.224274e-05,-0.0011038851,0.004729017,-0.005192217,-0.0033481864,0.000111335496,0.0038079899,0.00058415974,-0.00048513652
ADGRL2,0.0047697877,0.007827691,-0.009058207,0.0007722938,0.0084040845,0.012029734,-0.0064045545,-0.007846932,-0.00062171574,0.00021252515,-0.0021251768,-0.0028340972,0.010165386,0.0025061502,0.018428361,-0.003606856,-0.004044546,-0.0036452154,-0.013480468,-0.0071584606,-0.015160789,-0.0042105853,-0.0012148689,0.0026219522,-0.002688464,0.00035532445,0.0019188578,0.007937703,0.0021262425,0.009954963,0.018735107,-0.009097172,-0.0041707233,-0.0024002967,-0.007403953,-0.022760708
ADGRL4,-0.007383215,-0.00049334543,-0.00046329963,-0.0038276303,0.00088324177,-0.0067078015,0.00042247877,-0.008116888,-0.0052067223,-0.0053813383,-0.003161706,0.0070019476,0.0091743525,-0.008386017,0.0062079714,0.0012278969,-0.006263681,-0.016862765,-0.0058701667,-0.0036558525,-0.0099752955,-0.00014355352,-0.0074019437,0.0033210583,-0.0050413734,-0.002877817,0.029945722,0.023439305,-0.007476777,0.03382044,-0.016529478,-0.008948531,-0.0017518351,-0.0007452718,-0.017182954,0.010586719
ADGRV1,0.008170105,0.005460695,-0.011467379,-0.0068905894,-0.0009668132,0.02556563,-0.009460487,-0.016859174,0.0025042838,0.007924962,0.0026665914,-0.0059708036,0.008154625,0.0010243745,0.010556915,-0.0009156388,-0.0007723439,0.0064332583,-0.007143702,2.3119752e-05,-0.02191581,0.0007606852,0.00037844485,-0.0011770835,-0.0076259077,-0.003952812,-0.0041854335,0.0033879483,0.0008820811,-0.0069662915,0.041028965,-0.00898978,0.0017049039,-0.00021254025,-0.0018262727,-0.049103104
ADH1B,-0.00025324532,-7.102866e-05,8.780939e-06,-0.00050739106,-0.0011890675,-0.0009836787,-9.4114446e-05,-0.00027121796,0.00054592313,-0.002635191,-0.0007625834,-7.2124945e-05,-0.0015274702,0.001458383,-0.00061419106,0.0022680487,0.00031989824,0.0009338809,0.0026819392,-0.0024168028,-0.0010635012,0.0014488287,-0.0002989074,-0.0017633782,-0.00023525934,-0.0023248603,-0.00035194468,0.0017180956,-0.0009149581,2.9500543e-05,0.0009965637,-0.0017806629,0.00033028022,-5.9133054e-05,0.0024776203,-0.0019498287
ADM2,0.0013444861,2.1817077e-05,0.0009728795,-0.000934508,0.0018112495,0.0005300658,-0.0008648398,-0.00056789897,-0.004097057,0.0011807799,-0.004408321,0.001174094,-0.002075716,0.0007984748,0.0006562927,-0.005336733,0.0009472515,-0.0036987162,-0.0012642398,0.0027795623,0.00045232085,-0.005393544,-0.003399784,0.0006009926,-0.0012554114,0.002437584,0.0048854398,-0.0015587924,0.003745189,-0.0020982793,-0.0010820875,0.00029100964,0.0018589728,-0.0027674185,-0.0017680345,-0.002147903
ADTRP,0.00081767514,0.0010299456,0.0017770944,-0.0010079201,0.0026119892,-0.0013624359,-0.0013865426,0.003203163,-0.00147662,-0.0021958542,-0.0014945406,-0.0015884792,0.0010605966,0.0013243144,0.0008053381,-0.00045496636,0.0021890157,0.0017084131,0.003391285,-0.00015845515,0.0006389599,0.0008074923,0.000515477,0.00048074726,-0.0025306572,-0.00013374606,0.0012520098,0.004563805,0.0001900078,0.0029712261,-0.0027037938,-0.002169142,0.0009634065,-0.0021911222,0.0010100271,0.0025997648
AFF2,0.00046101483,0.003981833,-0.0034999615,0.0014652845,0.00042006964,0.008242565,-0.0049991417,-0.0059676943,0.0041756355,0.0013889149,0.00037674556,-0.0015940728,0.006891489,-0.005589245,0.010586714,-0.00093916425,-0.0013461424,-0.0005958916,-0.005941266,0.0018908052,-0.004949493,-0.0020249113,-0.0011449341,-0.00083540287,-0.00072995824,0.0005670713,0.004815931,0.004794649,-0.0043504667,-0.00013385898,0.016399248,-0.006456838,0.00308058,0.00032470422,-0.0028145513,-0.014538122
AFF3,-0.0073651555,0.0041556056,-0.0020223842,0.00032089255,0.007982319,-0.009116012,-0.0016153696,-0.00500114,-0.0073480485,0.00075184606,-0.003958807,0.012553888,0.0043663695,-0.002920719,0.008740845,-0.002441011,-0.0077062105,-0.020769227,-0.014389562,-0.008045216,-0.004998905,-0.002769544,-0.0029088706,0.0043127257,0.00013215686,-0.0056795077,0.02288655,0.022883842,0.0023371035,0.0254422,-0.010979518,6.434511e-05,-0.00042876886,0.003800677,-0.016698502,0.010939214
AGBL4,-5.950767e-05,0.00494624,-0.004571653,0.002819127,0.0033686722,0.0065538045,0.00027828204,-0.0052824537,0.00088293926,-0.0023742497,0.0007652067,0.0028022001,0.004831675,-0.00031164417,0.005017211,0.00396252,0.00092252594,-0.0035086637,-0.004616123,-0.000116990974,0.0011047598,0.00052410486,0.0027245334,0.0012398554,-0.00028155473,0.0030224915,-0.0009902227,0.0034749988,0.00074845256,-0.0018250861,0.010498061,-0.0021807419,0.0008279816,0.0013321314,0.0020813653,-0.008848495
AGRN,0.0012148789,0.0032966526,-0.00022439037,0.0019243737,0.0046024383,0.0038383848,-0.0015777217,-0.00076802657,0.0002352248,0.0020543933,-0.0022340647,-0.0023672904,0.0002900773,-0.0027668548,0.0039023904,-0.0061716535,-0.0005946589,0.0012910776,-0.0047955005,-0.0021238846,-0.0039032204,-0.00213731,6.981885e-05,-0.0016443765,8.599811e-05,0.0020863183,-0.00048645522,0.0021381448,0.00074749667,0.010416874,0.0040396852,0.00023018013,0.0015388075,0.0005832962,-0.0010056365,-0.004879173
AHDC1,-0.0009844545,0.0043176166,-0.0031477597,0.00044700297,0.0072772894,0.002023517,6.442163e-05,-0.0032613336,-0.0018093752,-0.0011352162,0.0004307575,-0.0007675658,0.0057743243,0.0003345734,0.0044452716,-0.0008983138,-0.004609282,-0.0027842924,-0.0055508087,0.001306203,-0.0024605673,0.0036434934,-0.0022497806,0.0005234179,0.00066013064,-0.001231556,0.004550063,0.0024330753,-0.0020585854,0.011208777,0.0022266582,-0.004234439,-0.0018477208,-0.00015620996,-0.0020503155,-0.004278206
AHNAK,-0.0058056237,0.0051058936,-0.0021530576,0.0069062724,0.017224956,-0.009978836,0.0029023003,0.004088935,0.0050957273,-0.00097518635,-0.00092361536,-0.0034111072,0.009999647,0.0031319275,0.010923386,0.0032240925,-0.0004991276,0.0021646377,-0.0024301393,-0.007711237,-0.008968675,0.002183126,0.0041958587,0.0008671694,0.0028893352,0.012371438,0.010235035,0.016095538,0.00065407314,0.026211992,-0.019439712,-0.0043347357,-5.9313214e-05,0.0056534302,-0.011487087,0.015219106
AIG1,0.0048426427,0.008258792,-0.0082443515,-0.0038035174,0.0060083815,0.017932558,-0.007811366,-0.009981526,-0.0018907236,0.008017341,0.0013287683,-0.00043227657,0.009480832,-0.000977536,0.011023952,0.0005427835,0.0022306968,-0.0031839847,-0.008537194,-0.0018562616,-0.009789879,-0.00087730284,0.0005412635,0.00023175702,0.0009005116,-0.0014997096,-0.0011660245,0.0067448434,-0.00025704768,0.0016996696,0.021887708,-0.010591064,-0.0011436135,0.0008644943,0.00037886578,-0.030234676
AIM2,-0.0029407237,0.004890123,-0.0029238511,-0.0019424898,0.0018386252,0.0038714542,-0.0018628654,-0.0071504954,-0.0032431793,0.00043340333,-0.0011485599,0.00071615545,0.0052264584,-0.0013433531,0.0075670215,-1.9750321e-05,-0.0027957235,-0.00030282396,-0.007840104,0.0016266514,-0.009010039,0.00090784585,-0.00023138437,-0.0036231733,0.0011284729,-0.0035744312,0.0005979404,0.0015753966,0.001980371,-0.0007264007,0.005131472,-0.0005168889,0.0033292123,-0.0011889838,0.0009833352,-0.0072770477
AKT3,-0.0019747287,0.008132652,-0.007667356,-0.00044965924,0.004565538,0.011947045,-0.006086859,-0.013192063,0.0007304488,0.0036041138,0.000458982,0.0019351982,0.008902987,-7.606424e-05,0.007521556,0.00036210255,-0.0012433394,-0.0021795454,-0.01007637,0.0026794916,-0.01138113,-0.0021139295,0.00091125275,-0.00044204283,-0.0011027018,-0.00257322,0.0023289646,0.012581458,-0.00013819674,0.0075389836,0.018035967,-0.006899633,0.0023184444,0.002099277,0.0011285485,-0.02230448
ALCAM,-0.0024127816,0.008317467,-0.0051632114,-0.0006624112,0.009777104,0.0028669243,-0.0027194791,-0.004926021,0.0024750587,0.007258742,0.0013227208,-0.0029610607,0.008516335,-0.0031440044,0.01462441,-0.004886982,-0.0016894697,-0.00043917767,-0.003708297,0.0017733959,-0.011098999,0.0028692756,0.0034860761,0.0019163892,2.0449017e-05,0.0019686413,0.0036827617,0.012249722,-0.006158827,0.015877118,0.009732438,-0.010336947,-0.0023155962,0.002255067,-0.003845184,-0.012638121
ALDH1A2,-0.0023455126,0.0011773657,-0.0020390605,0.0016271691,0.003194484,-0.00046842755,0.00016768729,-0.0016690817,-0.0035399653,-0.001387922,-0.0023898815,0.0055724992,0.0022244707,-0.0023489534,0.0009442264,-0.0015637107,-0.0018775611,-0.0077841156,-0.0028181716,-0.004243976,-0.003039212,-0.00082858646,0.00045741044,-0.0009848486,0.004207922,0.0032997825,0.009042918,0.00746028,0.0027377433,0.0074988455,-0.005759078,-0.002780899,0.0030055505,0.0030250798,0.0021526471,0.0012888862
ALG1L2,-0.0018351572,-0.002619958,0.0049222573,0.000980156,-0.0018269345,-0.0035960416,0.0017416774,0.0010276485,0.00021799162,0.002319343,0.0043522995,-0.003770995,0.003404804,-0.0008767017,-0.0004941096,-0.0004735916,0.001515185,0.00264953,0.0023477033,-0.001346576,0.004126934,-0.0027252685,-0.00037174724,0.0056890654,-0.0028646598,0.0014954938,0.0020197628,-0.00688492,0.0018605108,0.0007780289,0.0039577233,-0.0024736274,0.0012666908,-0.0014135686,-0.0003326688,-0.0001919926
ALG1L9P,0.0010416612,0.00040411268,0.0017665038,0.0006581134,0.0006976044,0.0017393903,-0.0014946517,-8.8990026e-05,-0.0032750426,0.0020305153,-0.0017249086,-0.0008059557,-0.004208956,0.004150594,0.003821934,-0.0035696917,-0.00048555067,0.001953139,-0.0007832072,0.0059538297,-0.0012497689,-0.0027587751,0.0012622005,0.0010079226,-0.001695741,0.0036349206,-0.002690296,-0.0013839258,0.0034226747,-0.00063400634,0.0025861815,0.0001603613,-0.0021528204,-0.00376413,8.775151e-05,-0.0028639056
ALPK2,-0.0039637755,0.00841323,0.0020454272,0.0038074353,0.009270113,-0.008514014,0.0049587777,0.004487242,0.012161524,-0.003482514,0.009833753,-0.004897031,0.008032813,0.0066411966,0.01625297,0.0031356553,-0.0034442616,0.005410759,-0.00488895,-0.0004884391,-0.0022094592,0.0027780798,-0.0029621562,-0.00060729805,0.0038953242,0.0036180692,0.0066782273,0.009734658,-0.000833448,0.019144583,-0.010214209,0.0049697254,0.0023059503,-0.0012092127,-0.0016834958,0.01467433
AMER3,0.00047807302,0.0017579315,0.0017593501,0.0024652104,0.003520786,-0.0011818919,0.0011303722,0.0022750301,0.0004811811,0.0033101584,-0.00053679507,0.0022625697,0.00036775903,0.00187539,0.0014624317,0.0017902686,-0.00027271901,0.0024521549,-0.00073006167,0.0028912807,0.0045532086,-0.00035894418,0.00025339844,0.001080243,0.00013110007,7.890262e-05,0.0010471783,-7.4125404e-05,0.0005946219,0.0028129993,-0.0010953,-0.0010491234,0.00023728189,0.0007138669,0.0025289971,0.0027395205
ANGPT1,0.002771103,-0.00023953257,-0.0029523666,-0.0033791338,0.0030701912,0.004803606,-0.00050031394,-0.0022705947,0.0016173824,0.0011947063,0.004242637,0.0014929759,0.0042826533,-0.0006224268,0.0009871941,-0.0019460093,-0.001911029,-0.00071770616,-0.0065935915,-0.0008807491,-0.001975524,0.0013772895,-0.0020676737,-0.0037681344,0.001289542,-0.0048015723,0.0027539327,0.001222426,0.0018733152,0.007199603,0.006073531,-0.006366527,0.00276318,-0.00073688774,-0.003946381,-0.0064309253
