,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
SHH,-0.003201852,0.0026173107,0.00074295007,0.0008191187,0.008969141,-0.007221268,0.0013937595,0.004647108,0.00064178545,0.0010461509,-0.00077382865,0.00024480378,0.0066666524,-0.00067257823,0.006205261,-0.0010499472,-0.00069369294,0.0061327163,-0.0016455476,-0.00079522515,0.0012621554,0.00045691294,-0.0011921107,0.0015279124,-0.00035064053,-0.001057186,0.0028247805,0.007428283,-0.000751479,0.017402336,-0.010727849,0.00255947,0.0010278764,-0.0033217382,-0.0028517595,0.010304326
SHISA6,-0.003273467,0.0023289977,-0.0046138098,-0.0034231949,0.004525538,0.0011410778,-0.0022105265,-0.0045283027,-0.0002431171,0.003109106,-0.0020498997,-0.00010314027,0.0048721833,9.784583e-06,0.003959392,0.0010124295,0.0017938341,-0.004259605,-0.008571849,0.0012944299,-0.0015766188,0.0010372609,0.004132335,-0.0048094243,0.0007307449,0.0009424559,0.0022715465,0.004186255,-0.0015979715,0.01172358,0.005643972,-0.006749455,-0.00032385782,0.0031166684,-0.0026953258,-0.007849298
SHISA9,0.0034312024,0.005577792,-0.0054213745,9.255702e-05,0.0031612644,0.013752538,-0.0047740927,-0.012311144,-0.0018484776,0.0017572955,0.004584624,-0.00073254167,0.0080552185,0.0016957659,0.016393824,-0.008003371,0.002086631,0.0020105538,-0.0054393574,0.0003268737,-0.009949433,-0.0029478013,-0.0032935864,-0.0016560764,-0.0019817236,-0.0017454947,-0.0015631692,0.0023273232,-0.0015641968,-0.0011182823,0.0278787,-0.006428071,0.0011465832,0.0003035458,0.0027957566,-0.031257607
SHOX2,0.006771709,0.0018740545,-0.0039067776,-0.003668522,-0.0009864325,0.007569778,-0.0017050527,-0.0077303513,0.00095908163,0.0005165556,0.0027270825,-0.0005743153,0.0020891502,0.0034486933,0.0024325217,-0.00097446993,-0.0011987537,0.00062767224,-0.0019723943,0.00028488744,-0.0040414133,-0.0022001073,-0.00048088725,0.0028530804,-0.0014410123,0.0026514698,-0.0015793496,-0.004593477,0.0035984353,-0.0019090917,0.002711568,0.0015765661,-0.00095608894,-0.0015756901,-0.0012692825,-0.0050351894
SHROOM2,-9.336012e-06,0.0025469,-0.00686192,-0.00025742853,0.006295888,0.004350295,-0.0060481136,-0.0055661714,-0.002329264,0.003163233,0.0077576987,0.002196633,0.0026831522,-3.439192e-05,0.0054060593,-0.0019065214,-0.0008821933,-0.0015798114,-0.008274173,0.0032535272,-0.0024625321,0.004797323,0.0017502897,0.0050714533,-0.0006803137,-0.003419775,-0.0012192177,0.007851194,0.0012377792,0.0029122352,0.011570108,-0.0035018085,-0.0059175324,0.004464155,-0.0035880026,-0.01099595
SHROOM3,0.002351747,0.0037062992,-0.007349662,-0.00097130635,0.010389887,0.006257782,-0.0075783357,-0.005842818,-0.002803804,0.007721144,-0.0025878416,-0.00255383,0.009334444,-0.0009263285,0.011468889,-0.0040661823,-0.0032445132,-0.0034074557,-0.0044757533,-0.00025109205,-0.009798423,-0.0044779778,-0.004818579,0.0037840074,0.0024133946,-0.0010414671,0.0027691722,0.012198821,-0.0033262046,0.009709156,0.009775861,-0.0016341829,-0.0016173677,0.002583096,-0.0048880787,-0.009112847
SHROOM4,0.0006746764,0.0036436913,-0.0062923706,0.0010599053,0.0051171747,0.0054594222,-0.004502395,-0.004228971,-0.0032085052,0.002930097,-0.0015403777,-0.0007129716,0.005109306,-0.001805279,0.0035749476,0.003576952,-0.0036739756,-0.0021006793,-0.0049811006,-0.006172698,-0.008248653,6.605958e-05,-0.002039381,-0.0028807896,0.001780814,0.0025337248,-0.0004519116,0.005048871,-0.0014892087,0.0064185923,0.008578832,-0.009508156,-0.0010790721,0.00279992,-0.0021322037,-0.011538048
SIDT1,-0.0007158724,0.0029938293,-0.00063969125,0.001962317,0.00094166875,0.00026634563,-0.0005052464,0.000588134,-0.00303114,0.006462676,0.000701374,-0.0026924275,5.3202326e-05,0.001746059,0.0029758648,-0.0056108353,0.0022074524,-0.003560998,-0.0005249747,-0.0014956419,-0.0004940401,0.002264455,0.003597333,-0.0049402528,0.0069240844,0.0045858,0.0006834559,0.0033550125,0.003735919,0.0031914066,-0.0015268903,-0.0070667784,-0.0010109419,0.0067489287,0.0023293537,-0.0006549372
SIGLEC11,-0.00025407973,0.00064658775,0.0021971783,0.0006628303,0.0008277789,-0.001242375,0.0022312764,0.0012907546,-0.00017676575,0.0020827833,-0.00017879064,0.0018402254,0.00055792875,-0.00029670278,0.00032084456,0.0026535622,2.1918057e-05,0.0010241065,-0.00023799422,0.00081183575,0.0036572388,0.00041525727,0.0011730205,-0.0012151927,0.00220652,-0.0022782697,-0.0008548604,0.0033326568,-0.00066651654,-0.00068214454,0.0012025426,-0.00058141386,0.00042345453,2.6872873e-05,0.0018517623,0.00047648765
SIM1,-0.00087583036,-0.0016719898,-0.0011567886,-0.002789631,0.0018633754,0.00044994443,-0.0050943117,0.0004566062,0.0016211388,-0.006360678,0.00011045383,-0.004631082,0.0022597308,-0.00019754897,-0.0009037538,-0.0002685729,-0.00055880356,-0.0002781882,0.0014690969,-0.0027883458,-0.0021766473,0.00095958065,-0.0005643544,0.0014330703,-0.0021050128,0.0032183232,0.00077339285,0.007038235,0.00043810235,0.004802804,-0.005880253,-0.00042538895,-0.00046473698,-0.001992004,-0.004278715,0.0026430483
